experiment_id,stage,tier,description,model_name,missing_policy,outlier_policy,feature_policy,scale_policy,sampling_policy,pr_auc_mean,f1_mean,recall_mean,mcc_mean,roc_auc_mean,optimal_threshold,pr_auc_fold_mean,pr_auc_fold_std,f1_fold_mean,f1_fold_std
E001,1,0,Dummy majority class,dummy,M1,O0,F0,S0,B0,0.0663688576898532,0.0,0.0,0.0,0.5,0.05,0.0663682057752182,0.001238911703819,0.0,0.0
E002,1,1,LR + M0 minimal preprocess,logistic_regression,M0,O0,F0,S1,B1,0.1230456521741982,0.1883408071748878,0.4038461538461538,0.1197975724584944,0.6562910773437087,0.06,0.1488497589113379,0.0276222860441527,0.145595084704886,0.0475851231843916
E003,1,1,LR + M1 recommended missing,logistic_regression,M1,O0,F0,S1,B1,0.1257953549419966,0.1735537190082644,0.2019230769230769,0.1071189898063504,0.6610823387139175,0.7500000000000002,0.1496718419643304,0.0225414769390762,0.1461588603461851,0.053685260320957
E004,1,2,RandomForest + M1,random_forest,M1,O0,F0,S0,B1,0.1627856342958569,0.2613636363636363,0.4423076923076923,0.2074914042446176,0.7248606656501393,0.19,0.1925420722102845,0.0363963933701626,0.0,0.0
E005,1,2,XGBoost + M1 + scale_pos_weight,xgboost,M1,O0,F0,S0,B2,0.1671410029266377,0.2352941176470588,0.2692307692307692,0.1751610213700932,0.7001551080498448,0.1,0.1974814391764008,0.0369075065785022,0.0675585284280936,0.0340020468953547
E006,1,2,LightGBM + M1 + scale_pos_weight,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E101,2,2,Missing ablation M0,lightgbm,M0,O0,F0,S0,B2,0.1586116500820771,0.1888888888888888,0.1634615384615384,0.142682019237764,0.6894947158105054,0.05,0.1749617648582687,0.0145892056041445,0.0347826086956521,0.0425998216136204
E102,2,2,Missing ablation M1,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E103,2,2,Missing ablation M2,lightgbm,M2,O0,F0,S0,B2,0.1641180568975052,0.192090395480226,0.1634615384615384,0.1478601084095748,0.6922682580577317,0.05,0.1903972143896523,0.0427835744096294,0.0348484848484848,0.0427476847868663
E104,2,2,Missing ablation M3,lightgbm,M3,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E107,2,2,Outlier ablation O0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E108,2,2,Outlier ablation O1,lightgbm,M1,O1,F0,S0,B2,0.156006223243509,0.1571428571428571,0.1057692307692307,0.1473434525143664,0.7082062674167938,0.15,0.1739732851464529,0.0247229931303619,0.0363636363636363,0.0445361771415123
E109,2,2,Outlier ablation O2,lightgbm,M1,O2,F0,S0,B2,0.1496849242945725,0.2,0.1826923076923076,0.1496245414276059,0.7008452074241548,0.05,0.1680886508350899,0.0155217803330883,0.0181818181818181,0.0363636363636363
E110,2,2,Outlier ablation O3,lightgbm,M1,O3,F0,S0,B2,0.1690885278594878,0.2011834319526627,0.1634615384615384,0.1631037913523458,0.7003654240496346,0.06,0.1925984965860396,0.0369946336436834,0.0181818181818181,0.0363636363636363
E111,2,2,Outlier ablation O4,lightgbm,M1,O4,F0,S0,B2,0.1535311693595508,0.1758241758241758,0.1538461538461538,0.127582869274145,0.7059256532940744,0.05,0.182109581436533,0.0321190235352885,0.0,0.0
E112,2,2,Feature ablation F0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E113,2,2,Feature ablation F1,lightgbm,M1,O0,F1,S0,B2,0.1446485373892195,0.1666666666666666,0.125,0.136669578489275,0.6861953835638047,0.09,0.1633827336300091,0.0227157840293056,0.0,0.0
E114,2,2,Feature ablation F2_20,lightgbm,M1,O0,F2_20,S0,B2,0.142294381012405,0.2097378277153558,0.2692307692307692,0.1442857339887582,0.704045954045954,0.05,0.1693826171280929,0.0401360316501329,0.080575712143928,0.0065861821535841
E115,2,2,Feature ablation F2_50,lightgbm,M1,O0,F2_50,S0,B2,0.1378349980404865,0.1946902654867256,0.2115384615384615,0.1330224148733328,0.7024883011725117,0.05,0.1675299789936803,0.0522730060344269,0.067391304347826,0.0625711105649939
E116,2,2,Feature ablation F2_100,lightgbm,M1,O0,F2_100,S0,B2,0.161470283642703,0.1714285714285714,0.1442307692307692,0.1268113640698795,0.7327277985172722,0.08,0.1815554479754279,0.0388060968262066,0.0166666666666666,0.0333333333333333
E119,2,2,Feature ablation F4,lightgbm,M1,O0,F4,S0,B2,0.1378349980404865,0.1946902654867256,0.2115384615384615,0.1330224148733328,0.7024883011725117,0.05,0.1675299789936803,0.0522730060344269,0.067391304347826,0.0625711105649939
E120,2,2,Scale ablation S0,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E121,2,2,Scale ablation S1,lightgbm,M1,O0,F0,S1,B2,0.1452281187517239,0.1767955801104972,0.1538461538461538,0.129152706897957,0.6934775750565224,0.05,0.1655120574844708,0.0256847914966103,0.0340579710144927,0.0417280581127187
E122,2,2,Scale ablation S2,lightgbm,M1,O0,F0,S2,B2,0.1535311693595508,0.1758241758241758,0.1538461538461538,0.127582869274145,0.7059256532940744,0.05,0.182109581436533,0.0321190235352885,0.0,0.0
E201,3,3,Sampling B0 with lightgbm,lightgbm,M1,O0,F0,S0,B0,0.180166101589484,0.1793103448275862,0.125,0.1650846262392285,0.7081602607918398,0.05,0.20614994596686,0.0340091010109955,0.0,0.0
E202,3,3,Sampling B1 with lightgbm,lightgbm,M1,O0,F0,S0,B1,0.1780924137653558,0.2222222222222222,0.2019230769230769,0.173839938862646,0.7060505284189494,0.06,0.2048799459263175,0.024521503227441,0.017391304347826,0.0347826086956521
E203,3,3,Sampling B2 with lightgbm,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E204,3,3,Sampling B3 with lightgbm,lightgbm,M1,O0,F0,S0,B3,0.1606830345515727,0.2455242966751918,0.4615384615384615,0.1918955343940663,0.6879633524370367,0.38,0.1746555795562139,0.0220567531870199,0.2185763191754788,0.0349847271953069
E205,3,3,Sampling B4 with lightgbm,lightgbm,M1,O0,F0,S0,B4,0.1502326470765577,0.2304147465437788,0.2403846153846154,0.1734421729686425,0.7030732425469268,0.06,0.1787208047932859,0.0386997502347487,0.0340579710144927,0.0417280581127187
E206,3,3,Sampling B5 with lightgbm,lightgbm,M1,O0,F0,S0,B5,0.1726872748817307,0.2654028436018957,0.2692307692307692,0.2124113075100901,0.7079828066670172,0.05,0.2006092846803988,0.043148270946819,0.069631093544137,0.0348979502536631
E207,3,3,Sampling B6 with lightgbm,lightgbm,M1,O0,F0,S0,B6,0.1509204879717774,0.1951219512195122,0.1923076923076923,0.138818658756945,0.7053538566696462,0.07,0.1805403403753559,0.0362954542127627,0.0341818181818181,0.0420059027729269
E208,3,3,Sampling B7 with lightgbm,lightgbm,M1,O0,F0,S0,B7,0.1575938208715973,0.2232558139534883,0.2307692307692307,0.1662111128836755,0.6974472895525528,0.06,0.1911070725884105,0.0404902219391053,0.049391304347826,0.0647517288527031
E209,3,3,Sampling B8 with lightgbm,lightgbm,M1,O0,F0,S0,B8,0.180166101589484,0.1793103448275862,0.125,0.1650846262392285,0.7081602607918398,0.05,0.20614994596686,0.0340091010109955,0.0,0.0
E210,3,3,Sampling B0 with xgboost,xgboost,M1,O0,F0,S0,B0,0.1695382537147835,0.2673267326732673,0.2596153846153846,0.2170062305688027,0.6925114359324885,0.08,0.1926584025170254,0.0075267255328829,0.0,0.0
E211,3,3,Sampling B1 with xgboost,xgboost,M1,O0,F0,S0,B1,0.1695382537147835,0.2673267326732673,0.2596153846153846,0.2170062305688027,0.6925114359324885,0.08,0.1926584025170254,0.0075267255328829,0.0,0.0
E212,3,3,Sampling B2 with xgboost,xgboost,M1,O0,F0,S0,B2,0.1671410029266377,0.2352941176470588,0.2692307692307692,0.1751610213700932,0.7001551080498448,0.1,0.1974814391764008,0.0369075065785022,0.0675585284280936,0.0340020468953547
E213,3,3,Sampling B3 with xgboost,xgboost,M1,O0,F0,S0,B3,0.1591549500534183,0.2291666666666666,0.4230769230769231,0.1700910165120193,0.6734186865765812,0.4100000000000001,0.1828549419681716,0.0289439382299366,0.2030836025459053,0.0497332244475911
E214,3,3,Sampling B4 with xgboost,xgboost,M1,O0,F0,S0,B4,0.1677761273631833,0.2447552447552447,0.3365384615384615,0.1834005531769,0.6969412166780588,0.1,0.1933108751062401,0.0304439219125026,0.1090243669374104,0.0415729421770992
E215,3,3,Sampling B5 with xgboost,xgboost,M1,O0,F0,S0,B5,0.1652702037931501,0.2536585365853658,0.25,0.2014589462225236,0.6873192596876807,0.17,0.1974096017705456,0.0398778945322043,0.1202857142857142,0.0526896531254976
E216,3,3,Sampling B6 with xgboost,xgboost,M1,O0,F0,S0,B6,0.1634858815368739,0.2427184466019417,0.2403846153846154,0.189455363126953,0.6797281665702717,0.19,0.1916100544360582,0.0428415688681568,0.1232235530586355,0.0560577325939009
E217,3,3,Sampling B7 with xgboost,xgboost,M1,O0,F0,S0,B7,0.1618333972052428,0.2459016393442623,0.2884615384615384,0.1861229228540557,0.6993204164256795,0.14,0.1996088671101659,0.0316858989823532,0.0931526404629853,0.0228889524469071
E218,3,3,Sampling B8 with xgboost,xgboost,M1,O0,F0,S0,B8,0.1695382537147835,0.2673267326732673,0.2596153846153846,0.2170062305688027,0.6925114359324885,0.08,0.1926584025170254,0.0075267255328829,0.0,0.0
E219,3,3,SMOTE k_neighbors=3,lightgbm,M1,O0,F0,S0,B4_3,0.155963384755016,0.2307692307692307,0.2307692307692307,0.1760870708239129,0.7046046059203954,0.06,0.1797306583379334,0.0172314473798987,0.0166666666666666,0.0333333333333333
E220,3,3,SMOTE k_neighbors=5,lightgbm,M1,O0,F0,S0,B4_5,0.1502326470765577,0.2304147465437788,0.2403846153846154,0.1734421729686425,0.7030732425469268,0.06,0.1787208047932859,0.0386997502347487,0.0340579710144927,0.0417280581127187
E221,3,3,SMOTE k_neighbors=7,lightgbm,M1,O0,F0,S0,B4_7,0.1502575072066752,0.2268041237113402,0.2115384615384615,0.1765897756592251,0.689166097060834,0.08,0.1878708729561312,0.0504069650991927,0.0500579710144927,0.0409313542580094
E301,4,4,LGBM HPO grid 1,lightgbm,M1,O0,F2_50,S0,B2,0.1477227080953962,0.237885462555066,0.2596153846153846,0.1795548871213555,0.7187417845312583,0.27,0.1776563449260922,0.0486989475947872,0.0942528735632184,0.080479472136243
E302,4,4,LGBM HPO grid 2,lightgbm,M1,O0,F2_50,S0,B2,0.1378349980404865,0.1946902654867256,0.2115384615384615,0.1330224148733328,0.7024883011725117,0.05,0.1675299789936803,0.0522730060344269,0.067391304347826,0.0625711105649939
E303,4,4,LGBM HPO grid 3,lightgbm,M1,O0,F2_50,S0,B2,0.1347827870354129,0.196078431372549,0.1923076923076923,0.1401595800914023,0.6985054419264944,0.06,0.1591444097150457,0.0482174964001364,0.0470209339774557,0.0607527272015541
E305,4,4,LGBM HPO grid 5,lightgbm,M1,O0,F2_50,S0,B2,0.1466990293978192,0.2361623616236162,0.3076923076923077,0.1737780280786075,0.7166386245333614,0.05,0.1781686993837863,0.049953400329336,0.05,0.0408248290463863
E304,4,4,LGBM HPO grid 4,lightgbm,M1,O0,F2_50,S0,B2,0.1422762923590042,0.2409638554216867,0.3846153846153846,0.1808054727373517,0.7096127556653873,0.18,0.1714801978438096,0.0467282779640466,0.0998222327254585,0.0375701515744048
E306,4,4,XGB HPO grid 1,xgboost,M1,O0,F2_50,S0,B2,0.1537755428256164,0.2730627306273063,0.3557692307692308,0.2153191206462146,0.7170263946579735,0.28,0.1766783277703975,0.0481520906113646,0.1248366013071895,0.0875290057072753
E307,4,4,XGB HPO grid 2,xgboost,M1,O0,F2_50,S0,B2,0.1490659260859978,0.2471042471042471,0.3076923076923077,0.1864504086473524,0.7093301435406699,0.13,0.1740913860862731,0.0631925427235891,0.0481481481481481,0.0394579180604861
E308,4,4,XGB HPO grid 3,xgboost,M1,O0,F2_50,S0,B2,0.1536979687038162,0.2482758620689655,0.3461538461538461,0.1875024773856648,0.7078119249171881,0.05,0.173464795257821,0.0557311490668765,0.0648272017837235,0.0585861582886755
E309,4,4,XGB HPO grid 4,xgboost,M1,O0,F2_50,S0,B2,0.1491622943864102,0.2529411764705882,0.4134615384615384,0.1959454513956454,0.7185446132814555,0.4100000000000001,0.1809754387347779,0.0447344870283523,0.2176003734827264,0.0828978537814965
E310,4,4,XGB HPO grid 5,xgboost,M1,O0,F2_50,S0,B2,0.1527007634234205,0.2704918032786885,0.3173076923076923,0.213086370013899,0.7191952784058048,0.21,0.1865482950406793,0.0595961204752937,0.0621538461538461,0.0577413125205656
E500,5,4,M1 O0 F0 B2 LGBM default,lightgbm,M1,O0,F0,S0,B2,0.1531600486049127,0.2054054054054054,0.1826923076923076,0.1577563285296308,0.6905857300594143,0.06,0.1708644544495123,0.0220920638404761,0.017391304347826,0.0347826086956521
E501,5,4,M1 O1 F2_50 B2 LGBM,lightgbm,M1,O1,F2_50,S0,B2,0.1310914587056997,0.1900452488687782,0.2019230769230769,0.1290838906879337,0.6910589410589411,0.05,0.1471975546977012,0.0236347665296712,0.0326666666666666,0.0400222160528096
E502,5,4,M1 O0 F2_50 B4 SMOTE LGBM,lightgbm,M1,O0,F2_50,S0,B4,0.1349470902491447,0.2372881355932203,0.3365384615384615,0.1749312853304769,0.7016864714233136,0.07,0.1564186399293912,0.0389513155026447,0.0830570291777188,0.0676660697364362
E503,5,4,M1 O0 F2_50 B2 XGB,xgboost,M1,O0,F2_50,S0,B2,0.1490659260859978,0.2471042471042471,0.3076923076923077,0.1864504086473524,0.7093301435406699,0.13,0.1740913860862731,0.0631925427235891,0.0481481481481481,0.0394579180604861
E504,5,4,M1 O2 F1 B2 LGBM,lightgbm,M1,O2,F1,S0,B2,0.1583292584568008,0.2043010752688172,0.1826923076923076,0.1560801772890187,0.7023765707976234,0.05,0.189266437133138,0.0285433855680923,0.0181818181818181,0.0363636363636363
E505,5,4,M1 O0 F2_100 B6 SMOTETomek LGBM,lightgbm,M1,O0,F2_100,S0,B6,0.16816273532649503,0.2578125,0.3173076923076923,0.19846863942930235,0.733385036016615,0.07,0.19182477559286865,0.03321225772790405,0.076007326007326,0.045390217453671895
