baseline,experiment,pr_auc_baseline,pr_auc_experiment,delta,p_value,test,cohens_d,mcnemar_p,significant_holm
E001,E201,0.06636820577521821,0.20614994596685995,-0.13978174019164175,0.0011269472116340652,paired_t_test,-4.172675074193032,0.027533155829587486,True
E001,E209,0.06636820577521821,0.20614994596685995,-0.13978174019164175,0.0011269472116340652,paired_t_test,-4.172675074193032,0.027533155829587486,True
E001,E202,0.06636820577521821,0.20487994592631753,-0.1385117401510993,0.00031598814345834683,paired_t_test,-5.798058427382567,3.276470353441135e-06,True
E001,E206,0.06636820577521821,0.20060928468039876,-0.13424107890518058,0.0032156857278364983,paired_t_test,-3.15761574680616,8.420013817717518e-07,False
E001,E211,0.06636820577521821,0.19265840251702537,-0.12629019674180714,6.009490653989076e-06,paired_t_test,-15.778763822267063,1.0112752137598311e-05,True
E001,E210,0.06636820577521821,0.19265840251702537,-0.12629019674180714,6.009490653989076e-06,paired_t_test,-15.778763822267063,1.0112752137598311e-05,True
E001,E218,0.06636820577521821,0.19265840251702537,-0.12629019674180714,6.009490653989076e-06,paired_t_test,-15.778763822267063,1.0112752137598311e-05,True
E001,E110,0.06636820577521821,0.1925984965860396,-0.12623029081082143,0.002398835229617356,paired_t_test,-3.416721940719794,0.00015210657584807538,False
E001,E505,0.06636820577521821,0.19182477559286865,-0.1254565698176504,0.0015813119545626565,paired_t_test,-3.817019419070114,1.3021529165070942e-12,False
E001,E214,0.06636820577521821,0.19331087510624015,-0.12694266933102194,0.001117524760450638,paired_t_test,-4.181859148220338,1.5793331338223995e-17,True
E001,E212,0.06636820577521821,0.19748143917640076,-0.13111323340118253,0.0019014357099488939,paired_t_test,-3.635100295572265,7.055225473235021e-12,False
E001,E005,0.06636820577521821,0.19748143917640076,-0.13111323340118253,0.0019014357099488939,paired_t_test,-3.635100295572265,7.055225473235021e-12,False
E001,E215,0.06636820577521821,0.19740960177054556,-0.13104139599532733,0.0026561476963180594,paired_t_test,-3.324633038080169,1.1154954264353208e-06,False
E001,E103,0.06636820577521821,0.19039721438965226,-0.12402900861443404,0.004184607721432658,paired_t_test,-2.9391934256011827,5.268675318129165e-06,False
E001,E216,0.06636820577521821,0.1916100544360581,-0.12524184866083993,0.004077506329326668,paired_t_test,-2.9601183660966224,2.4519113385990644e-07,False
E001,E004,0.06636820577521821,0.19254207221028447,-0.12617386643506623,0.002090561604948656,paired_t_test,-3.544552912489534,1.6813661508103482e-24,False
E001,E217,0.06636820577521821,0.1996088671101659,-0.13324066133494766,0.000977888774766053,paired_t_test,-4.330357998398684,6.249132901619841e-12,True
E001,E116,0.06636820577521821,0.18155544797542786,-0.11518724220020966,0.003723788282941205,paired_t_test,-3.034333710625853,1.0414019304757919e-06,False
E001,E204,0.06636820577521821,0.1746555795562139,-0.10828737378099569,0.0006892399882853558,paired_t_test,-4.742826584512588,1.1921922585697139e-31,True
E001,E213,0.06636820577521821,0.18285494196817162,-0.1164867361929534,0.0013381913007425332,paired_t_test,-3.988719990741027,6.335564729992664e-33,True
E001,E101,0.06636820577521821,0.17496176485826873,-0.10859355908305053,0.00011300748182201897,paired_t_test,-7.5347742076841575,1.3968718113140028e-06,True
E001,E504,0.06636820577521821,0.189266437133138,-0.1228982313579198,0.000914645528475666,paired_t_test,-4.406542370133842,1.1467543245820195e-06,True
E001,E208,0.06636820577521821,0.1911070725884105,-0.12473886681319227,0.0032934924909691437,paired_t_test,-3.1372405585252956,1.4180922486418413e-09,False
E001,E108,0.06636820577521821,0.17397328514645294,-0.10760507937123473,0.0008832101222093837,paired_t_test,-4.446882104174282,0.028816719655878845,True
E001,E219,0.06636820577521821,0.17973065833793345,-0.11336245256271522,0.000174926043456025,paired_t_test,-6.74304010444408,3.221505246540145e-08,True
E001,E306,0.06636820577521821,0.17667832777039755,-0.11031012199517931,0.009480291007823577,paired_t_test,-2.337687298993194,2.5041226572001327e-13,False
E001,E308,0.06636820577521821,0.17346479525782105,-0.10709658948260281,0.017506368272997917,paired_t_test,-1.9511841629177802,9.628713725647099e-18,False
E001,E111,0.06636820577521821,0.182109581436533,-0.11574137566131477,0.0018728593669993018,paired_t_test,-3.649747635175909,1.5129781377543388e-07,False
E001,E122,0.06636820577521821,0.182109581436533,-0.11574137566131477,0.0018728593669993018,paired_t_test,-3.649747635175909,1.5129781377543388e-07,False
E001,E102,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E500,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E107,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E006,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E112,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E104,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E120,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E203,0.06636820577521821,0.17086445444951232,-0.10449624867429412,0.0006330632471405126,paired_t_test,-4.848426722852415,1.7730682926908962e-06,True
E001,E310,0.06636820577521821,0.18654829504067927,-0.12018008926546106,0.014950880279110975,paired_t_test,-2.045989112546704,2.59316019986872e-10,False
E001,E207,0.06636820577521821,0.18054034037535596,-0.11417213460013773,0.0030412511902721128,paired_t_test,-3.2055840476340847,6.93092578965037e-10,False
E001,E221,0.06636820577521821,0.1878708729561312,-0.12150266718091296,0.008163245131440022,paired_t_test,-2.4397760601364062,1.249258128763103e-06,False
E001,E205,0.06636820577521821,0.17872080479328584,-0.11235259901806763,0.004147679738825005,paired_t_test,-2.9463332650774214,2.061974595281033e-09,False
E001,E220,0.06636820577521821,0.17872080479328584,-0.11235259901806763,0.004147679738825005,paired_t_test,-2.9463332650774214,2.061974595281033e-09,False
E001,E109,0.06636820577521821,0.16808865083508992,-0.10172044505987168,0.0001562430474194754,paired_t_test,-6.939641373631171,1.9409574271727466e-07,True
E001,E309,0.06636820577521821,0.18097543873477787,-0.11460723295955966,0.006358207502322044,paired_t_test,-2.6179285696378387,7.051958737405194e-24,False
E001,E307,0.06636820577521821,0.17409138608627306,-0.10772318031105484,0.02605787032361621,paired_t_test,-1.724928452544983,8.804233365725882e-14,False
E001,E503,0.06636820577521821,0.17409138608627306,-0.10772318031105484,0.02605787032361621,paired_t_test,-1.724928452544983,8.804233365725882e-14,False
E001,E301,0.06636820577521821,0.17765634492609222,-0.11128813915087403,0.009541121648846301,paired_t_test,-2.3333946172301374,2.912355660156406e-10,False
E001,E305,0.06636820577521821,0.17816869938378632,-0.1118004936085681,0.010237796445899582,paired_t_test,-2.2864818395553934,2.958980878037014e-16,False
E001,E121,0.06636820577521821,0.16551205748447076,-0.09914385170925252,0.0013763740192319282,paired_t_test,-3.9593058629539506,2.4176312825015983e-07,True
E001,E113,0.06636820577521821,0.1633827336300091,-0.09701452785479087,0.0008913655916204325,paired_t_test,-4.436247481057608,0.0004095414537825804,True
E001,E114,0.06636820577521821,0.1693826171280929,-0.10301441135287467,0.0061883004519102955,paired_t_test,-2.6378332753316713,5.248825264114538e-18,False
E001,E304,0.06636820577521821,0.17148019784380958,-0.10511199206859134,0.010083302973680545,paired_t_test,-2.2965439929146516,3.930477350462325e-24,False
E001,E119,0.06636820577521821,0.16752997899368033,-0.10116177321846212,0.01700549802510655,paired_t_test,-1.9683987935197829,4.508859855702022e-13,False
E001,E302,0.06636820577521821,0.16752997899368033,-0.10116177321846212,0.01700549802510655,paired_t_test,-1.9683987935197829,4.508859855702022e-13,False
E001,E115,0.06636820577521821,0.16752997899368033,-0.10116177321846212,0.01700549802510655,paired_t_test,-1.9683987935197829,4.508859855702022e-13,False
E001,E502,0.06636820577521821,0.1564186399293912,-0.09005043415417298,0.009435855765762028,paired_t_test,-2.3408441888280147,1.9585913081662178e-19,False
E001,E303,0.06636820577521821,0.15914440971504568,-0.09277620393982748,0.01725686777521219,paired_t_test,-1.9596843784205082,1.1159089057251951e-09,False
E001,E501,0.06636820577521821,0.14719755469770118,-0.08082934892248297,0.002007276230452918,paired_t_test,-3.58312745577341,1.1987559175109566e-12,False
E001,E003,0.06636820577521821,0.14967184196433037,-0.08330363618911214,0.001678759090531117,paired_t_test,-3.757141856225566,2.375443434563591e-17,False
E001,E002,0.06636820577521821,0.14884975891133792,-0.08248155313611968,0.003670779379452714,paired_t_test,-3.046200759046006,3.5865418308707606e-49,False
